,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
53018,1645,Pakistan,New Zealand,1,48,9,9.0,Lahore,178,88,40.0
62566,2249,Sri Lanka,Sri Lanka,2,126,5,6.87,Johannesburg,147,10,41.0
61660,2242,Bangladesh,Bangladesh,0,104,4,8.32,Cape Town,144,45,40.0
22733,424,Pakistan,South Africa,0,113,6,8.07,Lahore,169,36,31.0
26832,473,Australia,West Indies,0,87,6,6.52,Gros Islet,141,40,32.0
17924,247,Sri Lanka,New Zealand,6,27,10,7.36,Kandy,161,98,32.0
59604,2222,Sri Lanka,Sri Lanka,0,5,10,4.29,Southampton,163,113,35.0
37305,810,Sri Lanka,Australia,1,109,5,6.35,Colombo,124,17,35.0
77357,2392,Australia,Australia,1,109,4,6.23,Johannesburg,147,15,35.0
14452,176,Pakistan,Pakistan,0,97,2,5.6,Perth,106,16,34.0
69877,2319,Australia,Pakistan,1,27,10,9.0,Dubai,108,102,35.0
71244,2332,Australia,Pakistan,1,57,9,7.95,St Lucia,191,77,37.0
51129,1531,West Indies,New Zealand,0,21,8,4.85,Tarouba,149,94,35.0
90431,2541,Pakistan,Pakistan,2,74,8,7.66,Mirpur,191,62,36.0
60479,2229,South Africa,India,0,19,9,5.7,Johannesburg,126,100,36.0
32069,605,India,England,4,18,10,10.8,Southampton,198,110,35.0
67542,2298,New Zealand,Pakistan,0,33,8,7.07,London,99,92,36.0
58877,2199,Pakistan,Bangladesh,6,42,9,10.96,Lahore,201,97,39.0
16439,217,New Zealand,England,0,138,5,8.62,Wellington,176,24,29.0
85446,2478,Pakistan,Pakistan,0,28,9,6.22,Dubai,151,93,29.0
16128,215,India,West Indies,4,72,10,13.09,Mumbai,240,87,28.0
3314,31,New Zealand,Australia,1,92,5,9.2,Auckland,150,60,31.0
56132,1809,India,England,4,16,10,16.0,Mumbai,247,114,32.0
30543,566,West Indies,Bangladesh,1,49,7,4.82,Sharjah,142,59,31.0
